Timestamp,Mint,Symbol,Name,Buy Timestamp,Sell Timestamp,Duration (s),Buy Tx,Sell Tx,Buy Amount (SOL),Initial MC,Final MC,Max MC,PnL (%),Sell Reason,Buy Sim Error,Buy Error,Sell Error
"2025-04-12T17:02:30.220Z","8LfcNZFE5qq6okPuybsm6QVgYpowhdBGrGw96yuXpump","MILITARY","MILITARY CORE","1744477346022","1744477350220","4","4RhmTBmxGYzjqbBChfEjTBQFJEYbfQaB3rSbj6YAW8VAmKWARAeG4mEhwLBqoPk8sFxt982vGVg3MUuA9CRqxs8R","2MKQMNKQsGyi4LwAXJrRBwioPr2AjNSYiYQU5fbHb6MqE2qM3n48jayjP9xEz6KgP3nVua1CrehDFaUaM8KzNht4","0.01","28","28","28",,"N/A",,,
"2025-04-12T17:15:15.779Z","CsdsTUuzXebB428kx5qa49GA2jNqEmjKcEMe8jYypump","VTU","Vandal Trump Uncle","1744478101241","1744478115779","15","5N4B8EyrmX6mH3eq3nYYdRm1fnr3isQR3hLHzMNEDMhTU7kKi37cPvusi2ia27UaZLUng2fi8LryhJuXag74yDsD","4yc3RDTb33S2xzSb6M6CWnCibWMRGpHBndCP5sUTyXvAUQJSRJg5F3uQW7gzLQL3vRdTvfnQ5FCegorwzyqQG7bm","0.01","27","28","28",,"N/A",,,
"2025-04-16T16:02:40.984Z","14Dd6TGQ1rAUtMPjJTEjbgzBN8Sxufa9ybVovvWfxgTS","💯","💯","1744819349141","1744819360984","12","3FoykUUhMT6z8WiHStqab2ixiYx24HuNPfDMXNsAA2oEXiz4MuF9rZwb26znEgEt9LWbhxZaS6zXqYp7vMP9YKNd","4avKPwRbdQGmSoQFLBpUhbYtKdCwkWsStTSJVUeDVKveEi9wnpojc183N8Jer5QcNtnB3ZzYoJ4rZ9shrYpC3CDg","0.01","28","28","28",,"N/A",,,
"2025-04-16T18:24:30.750Z","GNdDTS2KAtunEtRuMyDLQrZGxbE3s3q6Z1TSKQhNpump","potato","Better Potato","1744827860894","1744827870750","10","4czoSQSH8CGcLnj4NXMzJsFs642XDpdLakg6F9dVeYaP9ByTaPk7RQqLWVY2HihJ28eBQLhv4Hdtnt4WdNYLEMnk","67FbuFdrdavmbJsvbgP5BZp5BCRXFXbMKXXiwQdfnwFBreusdpUeAZ7khPJuvy7jTj1uxdEWE94d1uGsyA7cHne","0.01","31","31","31",,"N/A",,,
"2025-04-16T21:10:32.695Z","RtnZybAmQrjiaSYMzXAcUSVkA65BxHKbqEkZun5pump","FATGIRL","FAT GIRL SUMMER","1744837817621","1744837832695","15","UdBQDrxYrR7T9cApaRRhfE3xUKAkQLYjTiktTDSSyTbtfpeMjDGGf2e2uLYNRfv1h5Rb6rngUis37qfzbWv9hMq","JFcHU3svHDDtSTmt4L5FerE9pN5RH5vddBC8HQYzqs3u7oW1B8uLSmZT98uvS6o9V2ezETuTQ57pBiUSh9y4JPt","0.01","185","186","186",,"N/A",,,
"2025-04-16T21:13:16.084Z","ATEzebXiLSv663Rkm3NVwiXv3wXa9KzeTffqaPmJpump","2GEN","Only 2 genders","1744837986344","1744837996084","10","qP3x8hpTHeRL3ZfF3RSSRJGkS3FJgjSPNz4XqDngXmcadvaBoT4Uq6H9SUmj532jhpHs4avbsyBe8A7gipPnmKu","62JUSWBmuCXqyiqzWQAUG2RFnux1gmBsXEx9KTRDYTXYBkcxUbfSiwNtULKxGzYrmwTavU3YFR9bmu6PRvWJE3m","0.01","28","28","28",,"N/A",,,
"2025-04-17T06:06:35.445Z","BTgiL5QcESQgffNoMtdpZx67VCJKyixyKEBaoQfmpump","Food","Foodcoin ","1744869987066","1744869995445","8","4nkUb7cvyeEF2T8R8SVox8kVNwi3KmcDEYd6Ch7RrmdGUbxcW9S16QaSAuH6v9igtRx96co1tijWKLAhBHDNzFLD","4AaNfUDna74doSxG5dwutjBdkThCgiSQW8Y7Neph2AN8bE8XKjgMne3NWGXnN2AeNNwuRQRfwtMnGN5ZhwPHK4sr","0.01","50","50","50",,"N/A",,,
"2025-04-17T06:14:23.835Z","DyURvZz9Gvy9E5dV1E2DSh74rL32UwddY19RwadKpump","DIREWOLF","IRL DIREWOLF ROBBER","1744870457236","1744870463835","7","s3bQ82Ft6PE7SLDExcq2HUtByZwuHCDTN8aLTA9kuRCbSKg5eDhAagZTvGi68G34xrXEetUW4Mfx6NTvgeXPQEn","3x7Yuihv7pgQ8X47YNK3e9xFtacbE1BQJQwKjGyLtK1kStDcehjCqnoVk9FRAHBUeLX3N7JDGu3sMCMG1LUYMELu","0.01","33","31","33",,"Entry SL hit (5%)",,,
"2025-04-17T06:14:31.752Z","66Y2qtvjkk9L3GMMvxtN27vrSC9L5M6bwveSd1vCpump","YEPUNK","YE PUNK","1744870464672","1744870471752","7","4MSkwje4vvYvDqezr1MNq3fDFnez3qNS65TKXkjQ6pzfNgtbTL8yd7M4uvwt4g8LRCV4b3qCQRyUA1x7dfJvkq5t","3ekfmDXKgPKqZqQmooMVmTENoohrDMNMHcgBWZSq16Pf6kxRRdsTU8NmmM2saYRDKwKAPxXe48Lsb5qdPjPoFUqG","0.01","33","30","33",,"Entry SL hit (5%)",,,
"2025-04-17T06:14:41.989Z","FtRM1k1SycvqaXyxZnxXqgov7UFk115wguHduFRypump","WEREWOLF","Keddrick Demon Jones Jr","1744870476139","1744870481989","6","pPZyQgm5C37CdheCVizmcKkkc8f72cLbeUCTkAfderjGcSXSRPrqGNxRNu2J8xW8zvE1cytPjd3vrjWmktuYfzN","5EE7Y29xL5Jrw7cZ9zbh4JiHe2FZmZxRp8pzifiYYCFX8G9DEcV4YR1cfNHFZBq5vSSuqT22NsjyGrcNoAPu4g8x","0.01","36","30","36",,"Entry SL hit (5%)",,,
"2025-04-17T06:27:21.500Z","AjnuyCFQvsaP55bHwrL3xZz3bcCCXxkUAoxsEGbypump","🄿🄴","square pepe","1744871227451","1744871241500","14","3h3TnU5Da5tWGwX5o1wZoF7KYHdhtmt5MB9ZTvUPBkhPvdYtnvNDMVejesCWSiuYG36RyxgNPg39ZZaJ82keBDuE","ZpccYaihADH1huvS4C59az2oYzoUCU4yef2jTia1jPu5LSdNM6Uz3fnU6kooqokV8HmCimGf8adrXNhWxn8KFZm","0.01","37","37","40",,"N/A",,,
